state,x,y
Andhra Pradesh,-35.0,-108.0
Arunachal Pradesh,203.0,104.0
Assam,164.0,62.0
Bihar,69.0,56.0
Chhattisgarh,11.0,-8.0
Goa,-101.0,-102.0
Gujarat,-138.0,17.0
Haryana,-68.0,105.0
Himachal Pradesh,-54.0,154.0
Jharkhand,53.0,23.0
Karnataka,-64.0,-179.0
Kerala,120,340
Madhya Pradesh,-38.0,18.0
Maharashtra,-85.0,-46.0
Manipur,184.0,37.0
Meghalaya,135.0,50.0
Mizoram,165.0,14.0
Nagaland,188.0,60.0
Odisha,46.0,-28.0
Punjab,-83.0,136.0
Rajasthan,-114.0,59.0
Sikkim,103.0,85.0
Tamil Nadu,-43.0,-174.0
Telangana,-34.0,-67.0
Tripura,147.0,21.0
Uttar Pradesh,-14.0,86.0
Uttarakhand,-27.0,127.0
West Bengal,95.0,14.0
Delhi,-56.0,100.0
Jammu and Kashmir,-77.0,197.0
Ladakh,-49.0,199.0
Andaman and Nicobar Islands,164.0,-150.0
Chandigarh,-63.0,137.0
Dadra and Nagar Haveli and Daman and Diu,-117.0,-30.0
Lakshadweep,-129.0,-173.0
Puducherry,-17.0,-152.0
